Rk,Player,Yds,FantPt,Season,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,1D,Succ%,FantPt,PPR,FantPt,PPR/G,Pos,-9999
1,Puka Nacua,1486,193.5,2023,22,LAR,17,17,160,105,1486,14.2,6,87.4,65.6,9.3,68,56.9,193.5,298.5,11.38,17.56,WR,NacuPu00
2,Ja'Marr Chase,1455,223.6,2021,21,CIN,17,17,128,81,1455,18.0,13,85.6,63.3,11.4,56,52.3,223.6,304.6,13.15,17.92,WR,ChasJa00
3,Justin Jefferson,1400,186.2,2020,21,MIN,16,14,125,88,1400,15.9,7,87.5,70.4,11.2,58,61.6,186.2,274.2,11.64,17.14,WR,JeffJu00
4,Odell Beckham Jr.,1305,204.0,2014,22,NYG,12,11,130,91,1305,14.3,12,108.8,70.0,10.0,58,60.8,204.0,295.0,17.00,24.58,WR,BeckOd00
5,Michael Thomas,1137,163.7,2016,23,NOR,15,12,121,92,1137,12.4,9,75.8,76.0,9.4,62,67.8,163.7,255.7,10.91,17.05,WR,ThomMi05
6,Garrett Wilson,1103,132.7,2022,22,NYJ,17,12,147,83,1103,13.3,4,64.9,56.5,7.5,56,47.6,132.7,215.7,7.81,12.69,WR,WilsGa00
7,Amari Cooper,1070,140.7,2015,21,OAK,16,15,130,72,1070,14.9,6,66.9,55.4,8.2,47,47.7,140.7,212.7,8.79,13.29,WR,CoopAm00
8,A.J. Brown,1051,165.1,2019,22,TEN,16,11,84,52,1051,20.2,8,65.7,61.9,12.5,39,53.6,165.1,217.1,10.32,13.57,WR,BrowAJ00
9,Mike Evans,1051,177.1,2014,21,TAM,15,15,122,68,1051,15.5,12,70.1,55.7,8.6,46,46.7,177.1,245.1,11.81,16.34,WR,EvanMi00
10,Chris Olave,1042,126.2,2022,22,NOR,15,9,119,72,1042,14.5,4,69.5,60.5,8.8,48,53.8,126.2,198.2,8.41,13.21,WR,OlavCh00
11,Jaylen Waddle,1015,141.8,2021,23,MIA,16,16,140,104,1015,9.8,6,63.4,74.3,7.3,59,59.3,141.8,245.8,8.86,15.36,WR,WaddJa00
12,Kelvin Benjamin,1008,152.8,2014,23,CAR,16,15,145,73,1008,13.8,9,63.0,50.3,7.0,52,43.4,152.8,225.8,9.55,14.11,WR,BenjKe00
13,Willie Snead,984,114.4,2015,23,NOR,15,8,101,69,984,14.3,3,65.6,68.3,9.7,44,58.4,114.4,183.4,7.63,12.23,WR,SneaWi00
14,Sammy Watkins,982,133.0,2014,21,BUF,16,16,128,65,982,15.1,6,61.4,50.8,7.7,48,46.9,133.0,198.0,8.31,12.38,WR,WatkSa00
15,Rashee Rice,938,133.5,2023,23,KAN,16,8,102,79,938,11.9,7,58.6,77.5,9.2,44,61.8,133.5,212.5,8.34,13.28,WR,RiceRa01
16,CeeDee Lamb,935,143.7,2020,21,DAL,16,14,111,74,935,12.6,5,58.4,66.7,8.4,46,51.4,143.7,217.7,8.98,13.61,WR,LambCe00
17,Terry McLaurin,919,133.9,2019,24,WAS,14,14,93,58,919,15.8,7,65.6,62.4,9.9,43,57.0,133.9,191.9,9.56,13.71,WR,McLaTe00
18,JuJu Smith-Schuster,917,139.7,2017,21,PIT,14,7,79,58,917,15.8,7,65.5,73.4,11.6,37,57.0,139.7,197.7,9.98,14.12,WR,SmitJu00
