Rk,Player,Rec,G,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,Rec,Yds,Y/R,TD,Y/G,Pos,Class,-9999
1,Zay Jones,158,12,BUF,2,37,2017,East Carolina,2016,East Carolina,12,158,1746,11.1,8,145.5,WR,SR,isaiah-jones-2
2,Trent Taylor,136,14,SFO,5,177,2017,Louisiana Tech,2016,Louisiana Tech,14,136,1803,13.3,12,128.8,WR,SR,trent-taylor-2
3,Davante Adams,131,13,GNB,2,53,2014,Fresno State,2013,Fresno State,13,131,1719,13.1,24,132.2,WR,SO,davante-adams-1
4,Brandin Cooks,128,13,NOR,1,20,2014,Oregon State,2013,Oregon State,13,128,1730,13.5,16,133.1,WR,JR,brandin-cooks-1
5,Amari Cooper,124,14,RAI,1,4,2015,Alabama,2014,Alabama,14,124,1727,13.9,16,123.4,WR,JR,amari-cooper-1
6,Justin Hardy,121,13,ATL,4,107,2015,East Carolina,2014,East Carolina,13,121,1494,12.3,10,114.9,WR,SR,justin-hardy-1
7,DeVonta Smith,117,13,PHI,1,10,2021,Alabama,2020,Alabama,13,117,1856,15.9,23,142.8,WR,SR,devonta-smith-1
8,Justin Hardy,114,13,ATL,4,107,2015,East Carolina,2013,East Carolina,13,114,1284,11.3,8,98.8,WR,JR,justin-hardy-1
9,Rondale Moore,114,13,CRD,2,49,2021,Purdue,2018,Purdue,13,114,1258,11.0,12,96.8,WR,FR,rondale-moore-1
10,Trey Quinn,114,13,WAS,7,256,2018,SMU,2017,SMU,13,114,1236,10.8,13,95.1,WR,JR,trey-quinn-1
11,Jordan Matthews,112,13,PHI,2,42,2014,Vanderbilt,2013,Vanderbilt,13,112,1477,13.2,7,113.6,WR,SR,jordan-matthews-1
12,James Proche,111,13,RAV,6,201,2020,SMU,2019,SMU,13,111,1225,11.0,15,94.2,WR,SR,james-proche-1
13,Justin Jefferson,111,15,MIN,1,22,2020,LSU,2019,LSU,15,111,1540,13.9,18,102.7,WR,JR,justin-jefferson-1
14,Tajae Sharpe,111,12,OTI,5,140,2016,Massachusetts,2015,Massachusetts,12,111,1319,11.9,5,109.9,WR,SR,tajae-sharpe-1
15,Charlie Jones,110,13,CIN,4,131,2023,Purdue,2022,Purdue,13,110,1361,12.4,12,104.7,WR,SR,charlie-jones-7
16,Malik Washington,110,12,MIA,6,184,2024,Virginia,2023,Virginia,12,110,1426,13.0,9,118.8,WR,SR,malik-washington-1
17,Daniel Braverman,109,13,CHI,7,230,2016,Western Michigan,2015,Western Michigan,13,109,1377,12.6,13,105.9,WR,JR,daniel-braverman-1
18,Kevin White,109,13,CHI,1,7,2015,West Virginia,2014,West Virginia,13,109,1447,13.3,10,111.3,WR,SR,kevin-white-6
19,Nathaniel Dell,109,13,HTX,3,69,2023,Houston,2022,Houston,13,109,1398,12.8,17,107.5,WR,JR,nathaniel-dell-1
20,Jamison Crowder,108,14,WAS,4,105,2015,Duke,2013,Duke,14,108,1360,12.6,8,97.1,WR,JR,jamison-crowder-1
21,Richie James,108,13,SFO,7,240,2018,Middle Tennessee State,2015,Middle Tennessee State,13,108,1346,12.5,8,103.5,WR,FR,richie-james-1
22,Xavier Hutchinson,107,12,HTX,6,205,2023,Iowa State,2022,Iowa State,12,107,1171,10.9,6,97.6,WR,SR,xavier-hutchinson-1
23,Devin Duvernay,106,13,RAV,3,92,2020,Texas,2019,Texas,13,106,1386,13.1,9,106.6,WR,SR,devin-duvernay-1
24,Tyler Lockett,106,13,SEA,3,69,2015,Kansas State,2014,Kansas State,13,106,1515,14.3,11,116.5,WR,SR,tyler-lockett-1
